BRAND,PRODUCT,PROCESSOR,RAM,HDD,SSD,GRAPHIC_CARD,DISPLAY,OPERATING_SYSTEM,PRICE,IMAGE
Acer,Acer Nitro 7 Slim Gaming Laptop (9th Gen Core i7/ 32GB/ 512GB SSD/ Win10/ 4GB Graph),Intel Core i7 9th Gen,32GB,NO,512GB,4 GB Nvidia Graphics Card,15.6,Windows 10,94900,https://cdn1.smartprix.com/rx-iRefydXoH-w103-h125/acer-nitro-7-slim-ga.jpg
Acer,Acer Aspire Nitro VN7-591G (NX.MUVSI.002) Notebook (4th Gen Ci7/ 12GB/ 2TB HDD/ Win10 Home/ 4GB Graph),Intel Core i7 4th Gen,12GB,NO,512GB,4 GB NVIDIA Graphics Card,15.6,Windows 10,94499,https://cdn1.smartprix.com/rx-insuoFTVC-w103-h125/acer-aspire-nitro-vn.jpg
Acer,Acer Aspire V3-572G-54S6 (NX.MNJAA.005) Laptop (4th Gen Ci5/ 8GB/ 1TB/ Win8.1/ 2GB Graph),Intel Core i5 4210U 4th Gen,8GB,500GB,NO,2 GB NVIDIA Graphics Card,15.6,Windows 10,93575,https://cdn1.smartprix.com/rx-ivRwKLHiZ-w103-h125/acer-aspire-v3-572g.jpg
Acer,Acer Nitro 5 AN515-55 UN.Q7RSI.004 Laptop (10th Gen Core i7/ 8GB/ 1TB 256GB SSD/ Win10/ 4GB Graph),Intel Core i7 10th Gen,8GB,NO,512GB,4 GB NVIDIA Graphics Card,15.6,Windows 8,93144,https://cdn1.smartprix.com/rx-idNPjREU6-w103-h125/acer-nitro-5-an515-5.jpg
Acer,Acer Nitro 5 NP515-51 Notebook (8th Gen Ci7/ 8GB/ 1TB 256GB SSD/ Win10 Home/ 4GB Graph),Intel Core i7 8th Gen,8GB,NO,128GB,4 GB NVIDIA Graphics Card,15.6,Windows 10,92970,https://cdn1.smartprix.com/rx-iBSQ6TlgJ-w103-h125/acer-nitro-5-np515-5.jpg
Acer,Acer Nitro 5 AN515-51-522L (NH.Q2RAA.003) Gaming Laptop (7th Gen Ci5/ 8GB/ 1TB/ Win10 Home/ 4GB Graph),Intel Core i5 7300HQ 7th Gen,8GB,500GB,NO,4 GB NVIDIA Graphics Card,15.6,Windows 10,92518,https://cdn1.smartprix.com/rx-i5F0Z7jIa-w103-h125/acer-nitro-5-an515-5.jpg
Acer,Acer Nitro 5 AN517-51 NH.Q5DSI.001 Gaming Laptop (9th Gen Core i7/ 8GB/ 2TB 256GB SSD/ Win10 Home/ 6GB Graph),Intel Core i7 9th Gen,8GB,2TB,1TB,6 GB NVIDIA Graphics Card,17.3,Windows 10,90990,https://cdn1.smartprix.com/rx-iFRAoXY0b-w103-h125/acer-nitro-5-an517-5.jpg
Acer,Acer Nitro AN515-54 (NH.Q5BSI.002) Gaming Laptop (9th Gen Core i7/ 8GB/ 2TB 256GB SSD/ Win10/ 6GB Graph),Intel Core i7 9th Gen,8GB,NO,256GB,6 GB NVIDIA Graphics Card,15.6,Windows 10,90990,https://cdn1.smartprix.com/rx-isGVHK6ci-w103-h125/acer-nitro-an515-54.jpg
Acer,Acer Aspire V V5-472P Notebook (3rd Gen Ci3/ 4GB/ 500GB/ Win8/ Touch) (NX.MAVSI.005),Intel Core i3,4GB,1TB,256GB,Intel HD Graphics 4000,14,Windows 8,90000,https://cdn1.smartprix.com/rx-io6KeeT5p-w103-h125/acer-aspire-v-v5-472.jpg
Acer,Acer Predator G9-593 (NH.Q1YSI.004) Notebook (7th Gen Ci7/ 16GB/ 1TB 256GB SSD/ Win10 Home/ 6GB Graph),"Intel Core i7, HM175 7th Gen",16GB,1TB,NO,6 GB  Graphics Card,14,Windows 10,89990,https://cdn1.smartprix.com/rx-iPXT6NfSj-w103-h125/acer-predator-g9-593.jpg
Acer,Acer Nitro 5 AN515-51 Notebook (7th Gen Ci7/ 16GB/ 1TB 128GB SSD/ Win10 Home/ 4GB Graph),Intel Core i7 7th Gen,16GB,NO,128GB,4 GB NVIDIA Graphics Card,15.6,Windows 10,89990,https://cdn1.smartprix.com/rx-ixAuC81Ox-w103-h125/acer-nitro-5-an515-5.jpg
Acer,Acer Predator Helios PH315-51 Gaming Laptop (8th Gen Ci7/ 16GB/ 1TB 128GB SSD/ Win10/ 6GB Graph),Intel Core i7 8th Gen,16GB,NO,256GB,6 GB NVIDIA Graphics Card,15.6,Windows 10,89990,https://cdn1.smartprix.com/rx-i1is909LV-w103-h125/acer-predator-helios.jpg
Acer,Acer Predator Helios 300 PH315-52 (NH.Q54SI.007) Gaming Laptop (9th Gen Core i5/ 16GB/ 1TB 256GB SSD/ Win10/ 6GB Graph),Intel Core i5 9th Gen,16GB,NO,256GB,6 GB NVIDIA Graphics Card,17.3,Windows 10,89990,https://cdn1.smartprix.com/rx-iKHBKYe0g-w103-h125/acer-predator-helios.jpg
Acer,Acer Helios PH315-52 NH.Q53SI.013 Gaming Laptop (9th Gen Core i5/ 16GB/ 1TB 256GB SSD/ Win10/ 6GB Graph),Intel Core i5 9th Gen,16GB,NO,32GB,6 GB NVIDIA Graphics Card,15.6,Windows 10,89990,https://cdn1.smartprix.com/rx-i0N8ZsicD-w103-h125/acer-helios-ph315-52.jpg
Acer,Acer Nitro 7 AN715-51 Gaming Laptop (9th Gen Core i7/ 8GB/ 1TB SSD/ Win10/ 6GB Graph),Intel Core i7 9th Gen,8GB,NO,256GB,6 GB Nvidia Graphics Card,15.6,Windows 10,89990,https://cdn1.smartprix.com/rx-iUHp91ceY-w103-h125/acer-nitro-7-an715-5.jpg
Acer,Acer Aspire S7-391C Ultrabook (3rd Gen Ci5/ 4GB/ 256GB SSD/ Win8/ 128MB Graph) (NX.M3ESI.008),Intel Core i5 3rd Gen,4GB,1TB,NO,128 MB Intel Graphics Card,13.3,Windows 10,89600,https://cdn1.smartprix.com/rx-ifzhiEyD8-w103-h125/acer-aspire-s7-391c.jpg
Acer,Acer Predator Helios PH315-51 Gaming Laptop (8th Gen Ci5/ 16GB/ 1TB 128GB SSD/ Win10/ 6GB Graph),Intel Core i5 8th Gen,16GB,500GB,NO,6 GB NVIDIA Graphics Card,15.6,Windows 10,87990,https://cdn1.smartprix.com/rx-iErz11eyA-w103-h125/acer-predator-helios.jpg
Acer,Acer G3-572 (NH.Q2CSI.003) Notebook (7th Gen Ci7/ 8GB/ 1TB 128GB SSD/ Win10 Home/ 4GB Graph),Intel Core i7 7th Gen,8GB,NO,128GB,4 GB NVIDIA Graphics Card,15.6,Windows 10,87990,https://cdn1.smartprix.com/rx-ivrBbmrAy-w103-h125/acer-g3-572-nh-q2csi.jpg
Acer,Acer Nitro 5 AN515-52 (NH.Q3LSI.007) Laptop (8th Gen Ci7/  8GB/ 1TB 128GB SSD/ Win10/ 4GB Graph),Intel Core i7 8th Gen,8GB,NO,256GB,4 GB NVIDIA Graphics Card,15.6,Windows 10,87000,https://cdn1.smartprix.com/rx-iAklW08dT-w103-h125/acer-nitro-5-an515-5.jpg
Acer,Acer Aspire S7-392 Ultrabook (4th Gen Ci5/ 4GB/ 256GB SSD/ Win8/ Touch) (NX.MBKSI.005),Intel Core i5 4th Gen,4GB,1TB,NO,Intel HD Graphics 4400,13.3,Windows 10,85999,https://cdn1.smartprix.com/rx-ivVkwuIgf-w103-h125/acer-aspire-s7-392-u.jpg
Acer,Acer Aspire VN7-591G (NX.MUYSI.003) Notebook (4th Gen Ci7/ 12GB/ 1TB/ Win10/ 4GB Graph),Intel Core i7 4th Gen,12GB,NO,512GB,4 GB NVIDIA Graphics Card,15.6,Windows 10,84990,https://cdn1.smartprix.com/rx-ie9u5JYpM-w103-h125/acer-aspire-vn7-591g.jpg
Acer,Acer Swift 5 SF514-52T (NX.GTMSI.015) Laptop (8th Gen Ci7/ 8GB/ 512GB SSD/ Win10),Intel Core i7 8th Gen,8GB,1TB,NO,Intel Integrated UHD620,14,Windows 10,84990,https://cdn1.smartprix.com/rx-iLUsiT56z-w103-h125/acer-swift-5-sf514-5.jpg
Acer,Acer NITRO AN515-54 (NH.Q5BSI.004) Gaming Laptop (9th Gen Core i5/ 8GB/ 2TB 256GB SSD/ Win10/ 6GB Graph),Intel Core i5 9th Gen,8GB,2TB,NO,6 GB NVIDIA Graphics Card,15.6,Windows 10,84990,https://cdn1.smartprix.com/rx-i3JLvws2k-w103-h125/acer-nitro-an515-54.jpg
Acer,Acer Aspire R7-572G Laptop (4th Gen Ci5/ 8GB/ 1TB/ Win8/ 2GB Graph/ Touch) (NX.M95SI.001),Intel Core i5,8GB,NO,1TB,2 GB NVIDIA Graphics Card,15.6,Windows 8,84799,https://cdn1.smartprix.com/rx-iNEdzh2Cc-w103-h125/acer-aspire-r7-572g.jpg
Acer,Acer Predator Helios PH315-51 NH.Q47SI.002 Gaming Laptop (8th Gen Core i5/ 8GB/ 2TB/ Win10/ 6GB Graph),Intel Core i5 8th Gen,8GB,750GB,NO,6 GB NVIDIA Graphics Card,15.6,Windows 10,81990,https://cdn1.smartprix.com/rx-icGdZKE4H-w103-h125/acer-predator-helios.jpg
Acer,Acer Nitro 7 UN.Q5FSI.009 Laptop (9th Gen Core i7/ 8GB/ 1TB 256GBSSD/ Win10/ 4GB Graph),Intel Core i7 9th Gen,8GB,NO,256GB,4 GB NVIDIA Graphics Card,15.6,Windows 10,81990,https://cdn1.smartprix.com/rx-ihGB1ze73-w103-h125/acer-nitro-7-un-q5fs.jpg
Acer,Acer Predator Helios PH315-51 (NH.Q3HSI.009) Laptop (8th Gen Ci7/ 8GB/ 1TB 128GB SSD/ Win10/ 4GB Graph),Intel Core i7 8th Gen,8GB,NO,256GB,4 GB NVIDIA Graphics Card,15.6,Windows 10,80990,https://cdn1.smartprix.com/rx-iTgO7eRrR-w103-h125/acer-predator-helios.jpg
Acer,Acer Swift 3 SF315-52G (NX.GZASI.001) Laptop (8th Gen Core i5/ 8GB/ 1TB 128GB SSD/ Win10/ 2GB Graph),Intel Core i5 8th Gen,8GB,750GB,NO,2 GB NVIDIA Graphics Card,15.6,Windows 10,80984,https://cdn1.smartprix.com/rx-i3jBwvUXn-w103-h125/acer-swift-3-sf315-5.jpg
Acer,Acer TravelMate P614-51 Notebook (8th Gen Core i7/ 16GB/ 1TB/ Win10),Intel Core i7 8th Gen,16GB,1TB,NO,Nvidia GeForce MX250,14,Windows 10,79990,https://cdn1.smartprix.com/rx-iQR923RiB-w103-h125/acer-travelmate-p614.jpg
Acer,Acer Predator Triton 700 (NH.Q2KSI.002) Gaming Laptop (7th Gen Core i7/ 16GB/ 1TB SSD/ Win10/ 6GB Graph),Intel Core i7 7th Gen,16GB,NO,128GB,6 GB NVIDIA Graphics Card,15.6,Windows 10,79990,https://cdn1.smartprix.com/rx-i9uekk74A-w103-h125/acer-predator-triton.jpg
